"Khatchig Mouradian is a journalist, writer and translator born in Lebanon .","(Khatchig Mouradian, place of birth, Lebanon)"
"Samuel Kneeland (1 August 1821 Boston, Massachusetts -- 27 September 1888 Hamburg, Germany) was a naturalist of the United States .","(Samuel Kneeland, place of birth, Boston)"
"Dame Denise Mary Holt, DCMG (born 1 October 1949 in Vienna, Austria), née Denise Mary Mills, was British Ambassador to Mexico (2002-5) and Spain and Andorra (2007- 2009) .","(Denise Holt, place of birth, Vienna)"
"Riccardo Azzoli (born October 19, 1984) is an Italian race car driver born in Rome who currently competes in GT Open with Aston Martin DBRS9 of team Villois .","(Riccardo Azzoli, place of birth, Rome)"
"Russell Bawden (born 24 July 1973 in Queensland) is an Australian former rugby league footballer for the Brisbane Broncos, Melbourne Storm, London Broncos and for the Queensland State of Origin Team .","(Russell Bawden, place of birth, Queensland)"
"Bachar Kouatly (born 3 March 1958, Damascus) a Lebanese-- French chess master, journalist and activist .","(Bachar Kouatly, place of birth, Damascus)"
"Charles Ignatius White (born at Baltimore, Maryland, U.S.A., 1 February 1807; died at Washington, D.C., 1 April 1878) was an American editor, historian, and Catholic priest .","(Charles Ignatius White, place of birth, Baltimore)"
"Born in Boston, Halsey became a privateer in the service of Great Britain commanding the 10-gun brigantine Charles during the War of the Spanish Succession, or Queen Anne's War as it was known in the American colonies, and raided French fishing fleets in the Newfoundland and later sailed to Fayal in the Azores and the to the Canary Islands where he attacked Spanish ships en route to Barcelona during 1704 .","(John Halsey, place of birth, Boston)"
"Born in the Kiev, Ukraine, Russya was raised within a family of musicians .","(Russya, place of birth, Kiev)"
"Brian White (born 17 January 1951 in Winnipeg, Manitoba) was a Progressive Conservative party member of the Canadian House of Commons .","(Brian White, place of birth, Winnipeg)"
Ashley Gilbertson (born 22 January 1978) is an award-winning photographer best known for his images of the Iraq war .,"(Ashley Gilbertson, place of birth, Melbourne)"
"Rosere Manguelle (born May 22, 1985 in Saint-Denis, France) is a French footballer who played 2 matches in Ligue 2 for club Chateauroux in the season of 2005-2006  .","(Rosere Manguelle, place of birth, France)"
"Born in Glasgow, Scotland, MacAlister emigrated to the US state of Wisconsin in 1850 at the age of 10 with his family consisting of his mother and sisters .","(James A. MacAlister, place of birth, Glasgow)"
"Born in Chicago, Illinois, Rea grew up in Utica, New York .","(Dennis Rea, place of birth, Chicago)"
"Born in Paris, Pugh grew up in the Berkeley Hills east of San Francisco .","(Nick Pugh, place of birth, Paris)"
"Douglas Fee (born 21 July 1944 in Kingston, Ontario) was a member of the Canadian House of Commons from 1988 to 1993 .","(Douglas Fee, place of birth, Kingston)"
"Born in Liverpool, Carr is a professor of the cello, currently at the Royal Academy of Music .","(Colin Carr, place of birth, Liverpool)"
"Robert Harth (June 13, 1956 Louisville, Kentucky - January 30, 2004 New York, New York) was Carnegie Hall's executive and artistic director .","(Robert Harth, place of birth, Louisville)"
"Pierre de Savoye (born 12 November 1942 in Montreal, Quebec) was a member of the Canadian House of Commons from 1993 to 2000 .","(Pierre de Savoye, place of birth, Montreal)"
"Lionello Grifo (August 1934), Italian poet and writer, born in Rome in 1934 by parents who were both Italian government officials, nominated at the unanimity ``Premio della Cultura 2004 della Presidenza del Consiglio dei Ministri'' (Prize for Culture 2004 from the Presidency of the Italian Ministries Council) ``for his outstanding, prestigious contribution to the field of Poetry'' .","(Lionello Grifo, place of birth, Rome)"
"Marcin Gawron (; born 25 May 1988, in Nowy Sącz, Poland) is a Polish tennis player .","(Marcin Gawron, place of birth, Poland)"
"Alex Coke (born 1953, Dallas, Texas) is a jazz saxophonist and flutist .","(Alex Coke, place of birth, Dallas)"
Martinus Tels was born on 16 August 1926 in Rotterdam .,"(Martinus Tels, place of birth, Rotterdam)"
"Matthew Kent (born 2 July 1980, in Melbourne, Australia) is an Australian baseball player .","(Matthew Kent, place of birth, Melbourne)"
"Johan de Graeff (* October 29, 1673 in Amsterdam - † April 12, 1714) - Lord of the semisouverain Fief Zuid-Polsbroek and Lord of the castle Ilpenstein - was a member of the De Graeff - family from the Dutch Golden Age .","(Johan de Graeff, place of birth, Amsterdam)"
"Norbert Balatsch (born 10 March 1928, Vienna) is an Austrian conductor and chorus master .","(Norbert Balatsch, place of birth, Vienna)"
Eugen von Halácsy (1842 - 1913) was an Austrian physician and botanist of Hungarian descent who was born in Vienna .,"(Eugen von Halácsy, place of birth, Vienna)"
"Born in Glasgow, he was a younger son of George Morton .","(Fergus Morton, Baron Morton of Henryton, place of birth, Glasgow)"
"Horatio Balch Hackett (December 27, 1808 - November 2, 1875), American biblical scholar, was born in Salisbury, Massachusetts .","(Horatio Balch Hackett, place of birth, Salisbury)"
"Pascal Aubier is a French actor, director, script writer, producer and editor, born in 1943 in Paris (France) .","(Pascal Aubier, place of birth, Paris)"
"Steven Alexander is an American filmmaker born in London, England, immigrated to New York City in the 1980s .","(Steven Alexander, place of birth, London)"
"Ray Sharp (born 16 November 1969 in Stirling) is a Scottish former footballer, who played for Dunfermline, Stenhousemuir, Preston North End, Forfar, Alloa, Cowdenbeath, East Fife and Montrose .","(Ray Sharp, place of birth, Stirling)"
"Luke Youlden (born 28 January 1978 in Melbourne, Australia) is an Australian motor racing driver .","(Luke Youlden, place of birth, Melbourne)"
"Michael Urbano (born March 19, 1960, Sacramento, California, USA) is a studio drummer, band member, programmer, and record producer .","(Michael Urbano, place of birth, Sacramento)"
Ernst Fries (22 June 1801 Heidelberg -- 11 October 1833 Karlsruhe) was a German painter .,"(Ernst Fries, place of birth, Heidelberg)"
"Born in Venice, Polese studied singing in his native city and made his professional singing debut performing there in a concert in 1892 .","(Giovanni Polese, place of birth, Venice)"
"Born in Toronto, Ontario, Tesher studied sociology at the University of Toronto .","(Ellie Tesher, place of birth, Toronto)"
Alain de Cadenet (born 27 November 1945 in London) is an on air personality for the Speed Channel and ESPN .,"(Alain de Cadenet, place of birth, London)"
"Jemma Gawned (born 22 December 1974 in Perth, Australia) became well known as a contestant on Big Brother Australia 2001 .","(Jemma Gawned, place of birth, Perth)"
"Reginald Henry Campbell (born 2 December 1877, date of death unknown) was a British artist born in Edinburgh, Scotland .","(Reginald Henry Campbell, place of birth, Edinburgh)"
"Elfie Wörner (31 July 1941 in Berlin -- 4 July 2006 in Munich) was the wife of the late Dr Manfred Wörner, a prominent German military and politician who served as the Secretary General of NATO in 1988-94 .","(Elfie W%C3%B6rner, place of birth, Berlin)"
"Frederic F Heath was born September 6, 1864 to a Republican family in Milwaukee, Wisconsin .","(Frederic Heath, place of birth, Milwaukee)"
"Jimmy Norris (born 25 July 1988, Newport, Wales) is a Welsh rugby union player .","(Jimmy Norris, place of birth, Newport)"
"Born in Glasgow, he was the son of Alexander and Mary Baird .","(John Baird, place of birth, Glasgow)"
Brignole was born on 8 May 1797 in Genoa .,"(Giacomo Luigi Brignole, place of birth, Genoa)"
"Kenn Burke, a ballet dancer, was born in Fife, Scotland .","(Kenn Burke, place of birth, Fife)"
"Anna Maria Villani Scicolone (born 11 May 1938, Rome) is the divorced wife of Romano Mussolini (26 September 1927 -- 3 February 2006) who was the youngest son of Benito Mussolini, fascist dictator of Italy from 1922 to 1943 .","(Anna Maria Villani Scicolone, place of birth, Rome)"
"Born in 1951 in Germany, Schlukbier was the younger of two sons of a career US military officer .","(George Schlukbier, place of birth, Germany)"
"Pietro Leonardi (born 29 December 1963 in Rome) is an Italian businessman, currently serving as sporting and managing director of Italian association football club Parma F.C. .","(Pietro Leonardi, place of birth, Rome)"
Ole Buck (born 1 February 1945 in Copenhagen) is a Danish composer .,"(Ole Buck, place of birth, Copenhagen)"
Alastair Gordon (born 8 December 1976 in Sydney) is an Australian rower .,"(Alastair Gordon, place of birth, Sydney)"
"Dariusz Lipiński (born August 4, 1955 in Warsaw) is a Polish politician .","(Dariusz Lipiński, place of birth, Warsaw)"
"Born in Mobile, Alabama, Arthur played guitar, keyboards, bass, and drums in numerous Southern US touring rock bands .","(Che Arthur, place of birth, Mobile)"
"Alan John Bayard Wace (13 July 1879 in Cambridge, England -- 9 November 1957, in Athens, Greece) was an English archaeologist .","(Alan Wace, place of birth, Cambridge)"
"Scientist, born Hopeton Brown in Kingston, Jamaica, 1960 (sometimes known as Overton Brown), was a protégé of King Tubby (Osbourne Ruddock), one of the originators of dub music .","(Scientist, place of birth, Kingston)"
"Pat Passlof born August 5, 1928 in Brunswick, Georgia, and died November 13, 2011 in New York City, New York) was an American abstract expressionist painter .","(Pat Passlof, place of birth, Brunswick)"
"Elizabeth Filippouli is a media and business consultant, and former television journalist born in Athens(Greece) .","(Elizabeth Filippouli, place of birth, Athens)"
"Al Harewood (born June 3, 1923) is a musician and teacher, born in Brooklyn .","(Al Harewood, place of birth, Brooklyn)"
Laurie Fisher born in Canberra was the Head coach of the ACT Brumbies between 2005 and 2008 .,"(Laurie Fisher, place of birth, Canberra)"
Cohen received a BA from Athens College (now Athens State University) in History and was awarded a JD from the Howard University .,"(Neil M. Cohen, place of birth, Newark)"
Carl Blumenreuter (* 16 November 1881 in Berlin; † 11 Juli 1969 in Neustadt in Holstein) was a German chemist and politician .,"(Carl Blumenreuter, place of birth, Berlin)"
"Ian Dench (born 7 August 1964, Cheltenham, Gloucestershire) is a British songwriter and musician .","(Ian Dench, place of birth, Cheltenham)"
Colonel George William Adolphus FitzGeorge (24 August 1843 London - 2 September 1907 Lucerne) was the eldest of three sons of 2nd Duke of Cambridge and Louisa Fairbrother (the other sons being Admiral Sir Adolphus FitzGeorge and Colonel Sir Augustus FitzGeorge) .,"(George FitzGeorge, place of birth, London)"
"Born in Cleveland, Ohio, Barlow attended the common schools .","(Charles A. Barlow, place of birth, Cleveland)"
"Didier Pfirter (born 1959, Basel) is a Swiss diplomat .","(Didier Pfirter, place of birth, Basel)"
Jon Stock (born 12 May 1966 in England) is a British author and journalist .,"(Jon Stock, place of birth, England)"
Gallagher was born on 14 December 1978 in Scotland .,"(Michael Gallagher, place of birth, Scotland)"
Sergei Ordzhonikidze (born on 14 March 1946 in Moscow) is a Russian diplomat .,"(Sergei Ordzhonikidze, place of birth, Moscow)"
"John Clarke, CM (February 25, 1945--January 23, 2003) born in Ireland to Brigit Ann Clarke (née Conway) and Thomas Kevin Clarke, died in Vancouver, British Columbia, Canada of a brain tumor .","(John Clarke, place of birth, Ireland)"
Anthony Blake was born in the UK in the city of Bristol in 1939 .,"(A. G. E. Blake, place of birth, Bristol)"
"Billy Hoffman, also known as Acidus, is an American hacker, born in Atlanta, Georgia on October 15, 1980 .","(Billy Hoffman, place of birth, Atlanta)"
"Marcello Abbado (born 7 October 1926, Milan) is an Italian composer, conductor, and pianist .","(Marcello Abbado, place of birth, Milan)"
"Eugenie Söderberg (1903--1973) was a Swedish-American writer and journalist born in Heidelberg, Germany noted for her profound concern with women's issues which she addressed in her novels and short stories .","(Eugénie Söderberg, place of birth, Heidelberg)"
"Russell Stannard is a retired high-energy particle physicist, who was born in London, England, on December 24, 1931 .","(Russell Stannard, place of birth, London)"
"Charles Ejogo born in London, England, 1976, is a British entrepreneur .","(Charles Ejogo, place of birth, London)"
"George Clifford Sziklai (July 9, 1909 in Budapest, Hungary -- September 9, 1998 in Los Altos, California) was a renowned electronics engineer, who among many other contributions to radio and TV electronics invented the transistor configuration named after him, the Sziklai pair .","(George Clifford Sziklai, place of birth, Budapest)"
